timestamp,latitude,longitude,elevation,satellites,ang_vel_x,ang_vel_y,ang_vel_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
2026-04-28T22:52:06.237065,0.0,0.0,0.0,0,-0.001090830782496456,0.0,0.004363323129985824,0.16,-1.56,9.39,19.375,-5.5,-134.375
2026-04-28T22:52:07.248630,0.0,0.0,0.0,0,-0.002181661564992912,0.0,0.0,0.15,-0.29,9.42,19.0625,-3.6875,-132.875
2026-04-28T22:52:08.260146,0.0,0.0,0.0,0,0.0,0.003272492347489368,0.0,0.14,-0.29,9.43,19.75,-4.0625,-132.5
2026-04-28T22:54:28.829210,0.0,0.0,0.0,0,-0.003272492347489368,0.0,0.0,0.14,-0.31,9.44,19.0625,-5.1875,-136.0
2026-04-28T22:55:37.661650,0.0,0.0,0.0,0,0.0,0.001090830782496456,0.001090830782496456,0.19,-0.27,9.4,18.25,-5.1875,-135.1875
2026-04-28T22:55:38.811214,0.0,0.0,0.0,0,-0.002181661564992912,0.001090830782496456,0.001090830782496456,0.14,-0.29,9.41,18.25,-4.0625,-133.25
2026-04-28T22:55:39.976767,0.0,0.0,0.0,0,-0.001090830782496456,0.0,0.0,0.15,-0.29,9.4,18.6875,-4.375,-132.75
2026-04-28T22:55:41.602729,0.0,0.0,0.0,0,-0.001090830782496456,0.003272492347489368,0.001090830782496456,0.16,-0.28,9.41,19.75,-4.375,-132.75
2026-04-28T22:55:43.264480,0.0,0.0,0.0,0,0.0,-0.001090830782496456,0.0,0.12,-0.28,9.370000000000001,18.6875,-3.6875,-133.25
2026-04-28T22:55:44.910209,0.0,0.0,0.0,0,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,0.12,-0.29,9.39,19.375,-3.6875,-133.25
2026-04-28T22:55:46.579461,0.0,0.0,0.0,0,0.001090830782496456,0.002181661564992912,0.0,0.11,-0.31,9.39,19.375,-3.6875,-133.6875
2026-04-28T22:55:48.230618,0.0,0.0,0.0,0,-0.03599741582238305,-0.08508480103472356,-0.004363323129985824,0.51,-0.5,9.39,8.1875,-0.6875,-79.375
2026-04-28T22:55:49.901316,0.0,0.0,0.0,0,0.0,-0.007635815477475192,0.006544984694978736,3.7600000000000002,-0.38,9.11,-7.5,-3.25,-56.0
2026-04-28T22:55:51.558673,0.0,0.0,0.0,0,-0.003272492347489368,0.6359543461954338,-0.07853981633974483,0.9400000000000001,-0.41000000000000003,9.84,-1.75,-3.25,-51.5
2026-04-28T22:55:53.251870,0.0,0.0,0.0,0,0.001090830782496456,-0.002181661564992912,0.001090830782496456,0.48,-0.36,9.81,1.5,-3.0625,-49.0
2026-04-28T22:55:54.911797,0.0,0.0,0.0,0,-0.002181661564992912,-0.002181661564992912,-0.002181661564992912,0.49,-0.38,9.81,0.0625,-4.25,-50.1875
2026-04-28T22:55:56.580223,0.0,0.0,0.0,0,-0.003272492347489368,0.001090830782496456,0.0,0.48,-0.36,9.8,-0.25,-3.875,-50.1875
2026-04-28T22:55:58.229389,0.0,0.0,0.0,0,0.0,0.0,0.001090830782496456,0.47000000000000003,-0.36,9.82,0.5,-3.875,-49.75
2026-04-28T22:55:59.872034,0.0,0.0,0.0,0,0.0,0.001090830782496456,0.0,0.0,0.0,0.0,0.75,-3.5,-49.75
2026-04-28T22:56:01.492294,0.0,0.0,0.0,0,0.0,-0.00545415391248228,-0.002181661564992912,0.43,-0.38,9.81,0.0625,-3.875,-50.5
2026-04-28T22:56:03.136645,0.0,0.0,0.0,0,-0.002181661564992912,0.002181661564992912,0.002181661564992912,0.45,-0.37,9.81,0.75,-3.5,-50.5625
2026-04-28T22:56:04.795739,0.0,0.0,0.0,0,0.0,0.002181661564992912,0.001090830782496456,0.46,-0.38,9.81,0.5,-5.0,-49.75
2026-04-28T22:56:06.439759,0.0,0.0,0.0,0,0.001090830782496456,-0.001090830782496456,0.001090830782496456,0.44,-0.36,9.8,0.5,-3.5,-50.1875
2026-04-28T22:56:08.100419,0.0,0.0,0.0,0,-0.001090830782496456,0.001090830782496456,0.001090830782496456,0.46,-0.37,9.81,-0.25,-3.875,-51.0
2026-04-28T22:56:09.762617,0.0,0.0,0.0,0,0.0,0.001090830782496456,0.003272492347489368,0.44,-0.37,9.82,1.1875,-4.5625,-49.75
2026-04-28T22:56:11.412079,0.0,0.0,0.0,0,0.0,0.001090830782496456,-0.001090830782496456,0.44,-0.37,9.790000000000001,0.5,-3.5,-49.75
2026-04-28T22:56:13.065433,0.0,0.0,0.0,0,-0.002181661564992912,-0.00545415391248228,0.001090830782496456,0.42,-0.38,9.82,-0.375,-3.875,-50.0625
2026-04-28T22:56:14.733074,0.0,0.0,0.0,0,0.0,-0.002181661564992912,0.0,0.42,-0.35000000000000003,9.75,0.0,-3.875,-51.25
2026-04-28T22:56:16.377650,0.0,0.0,0.0,0,-0.001090830782496456,0.0,0.001090830782496456,0.42,-0.35000000000000003,9.81,0.0,-3.5,-51.6875
2026-04-28T22:56:18.037312,0.0,0.0,0.0,0,0.001090830782496456,-0.00545415391248228,0.0,0.41000000000000003,-0.5,9.91,-0.375,-3.875,-49.6875
2026-04-28T22:56:19.704298,0.0,0.0,0.0,0,-0.001090830782496456,0.0,-0.001090830782496456,0.42,-0.39,9.84,0.6875,-3.5,-50.875
2026-04-28T22:56:21.358663,0.0,0.0,0.0,0,0.002181661564992912,-0.00545415391248228,0.0,0.42,-0.35000000000000003,9.76,0.375,-4.25,-49.6875
2026-04-28T22:56:23.021154,0.0,0.0,0.0,0,-0.001090830782496456,0.00545415391248228,-0.001090830782496456,0.44,-0.42,9.88,0.0,-3.875,-50.5625
2026-04-28T22:56:24.690365,0.0,0.0,0.0,0,0.002181661564992912,-0.001090830782496456,-0.002181661564992912,0.41000000000000003,-0.37,9.81,-0.375,-3.0625,-49.25
2026-04-28T22:56:26.378224,0.0,0.0,0.0,0,0.001090830782496456,-0.002181661564992912,-0.003272492347489368,0.42,-0.39,9.540000000000001,0.375,-3.5,-50.875
2026-04-28T22:56:28.056331,0.0,0.0,0.0,0,-0.002181661564992912,0.002181661564992912,0.0,0.42,-0.41000000000000003,9.790000000000001,0.6875,-3.875,-50.0625
2026-04-28T22:56:29.733742,0.0,0.0,0.0,0,-0.00545415391248228,0.002181661564992912,0.001090830782496456,0.43,-0.44,9.83,0.6875,-3.5,-50.0625
2026-04-28T22:56:31.400496,0.0,0.0,0.0,0,-0.002181661564992912,0.001090830782496456,-0.001090830782496456,0.4,-0.36,9.78,-0.375,-4.25,-49.6875
2026-04-28T22:56:33.069469,0.0,0.0,0.0,0,0.002181661564992912,-0.002181661564992912,0.001090830782496456,0.42,-0.36,9.8,0.6875,-3.5,-50.875
2026-04-28T22:56:34.730020,0.0,0.0,0.0,0,0.0,-0.002181661564992912,-0.001090830782496456,0.41000000000000003,-0.35000000000000003,9.8,-0.375,-4.25,-49.375
2026-04-28T22:56:36.408904,0.0,0.0,0.0,0,-0.002181661564992912,0.003272492347489368,0.0,0.42,-0.35000000000000003,9.8,1.0625,-4.25,-48.875
2026-04-28T22:56:38.067527,0.0,0.0,0.0,0,-0.002181661564992912,0.00545415391248228,0.002181661564992912,0.41000000000000003,-0.37,9.8,0.6875,-3.5,-50.5
2026-04-28T22:56:39.744075,0.0,0.0,0.0,0,0.0,0.001090830782496456,-0.002181661564992912,0.42,-0.4,9.83,19.0625,-3.25,-132.875
2026-04-28T22:56:41.389440,0.0,0.0,0.0,0,0.002181661564992912,-0.001090830782496456,-0.001090830782496456,0.4,-0.36,9.85,18.25,-3.25,-132.375
2026-04-28T22:56:43.056004,0.0,0.0,0.0,0,0.002181661564992912,-0.004363323129985824,-0.001090830782496456,0.4,-0.36,9.78,10.6875,-1.1875,-81.5625
2026-04-28T22:56:44.723598,0.0,0.0,0.0,0,0.004363323129985824,0.0,0.01090830782496456,0.4,-0.3,9.76,10.875,-1.5,-80.0
2026-04-28T22:56:46.366832,0.0,0.0,0.0,0,0.0,-0.004363323129985824,0.001090830782496456,0.31,-0.39,9.84,11.1875,-2.0,-80.25
2026-04-28T22:56:48.016892,0.0,0.0,0.0,0,-0.003272492347489368,0.0,0.00545415391248228,0.26,-0.42,9.85,11.5,-0.5625,-79.0625
2026-04-28T22:56:49.669884,0.0,0.0,0.0,0,-0.003272492347489368,0.0,0.001090830782496456,0.27,-0.35000000000000003,9.82,9.6875,-1.6875,-79.5
2026-04-28T22:56:51.336405,0.0,0.0,0.0,0,0.002181661564992912,0.003272492347489368,0.001090830782496456,0.3,-0.36,9.76,10.75,-0.1875,-80.25
2026-04-28T22:56:52.995972,0.0,0.0,0.0,0,0.001090830782496456,0.0,0.0,0.34,-0.35000000000000003,9.81,9.6875,-1.375,-79.5625
2026-04-28T22:56:54.641085,0.0,0.0,0.0,0,0.0,-0.002181661564992912,0.0,0.33,-0.36,9.81,10.75,-1.375,-79.5
2026-04-28T22:56:56.268303,0.0,0.0,0.0,0,0.0,0.002181661564992912,0.0,0.32,-0.37,9.84,10.25,-1.75,-79.5
2026-04-28T22:56:57.392830,0.0,0.0,0.0,0,0.001090830782496456,0.0,-0.003272492347489368,0.34,-0.35000000000000003,9.81,9.875,-2.5,-78.75
2026-04-28T22:56:58.554065,0.0,0.0,0.0,0,0.003272492347489368,0.0,-0.003272492347489368,0.34,-0.36,9.78,10.25,-1.5,-79.0625
2026-04-28T22:56:59.697328,0.0,0.0,0.0,0,-0.003272492347489368,-0.003272492347489368,0.002181661564992912,0.31,-0.36,9.83,9.25,-2.5625,-78.6875
2026-04-28T22:57:00.865314,0.0,0.0,0.0,0,0.0,-0.002181661564992912,0.0,0.35000000000000003,-0.35000000000000003,9.78,9.0,-3.25,-79.0
2026-04-28T22:57:02.023413,0.0,0.0,0.0,0,0.0,0.001090830782496456,-0.002181661564992912,0.32,-0.39,9.83,10.0625,-2.875,-79.5
2026-04-28T22:57:03.173277,0.0,0.0,0.0,0,0.0,0.002181661564992912,0.001090830782496456,0.34,-0.37,9.8,9.0,-2.5625,-77.5
2026-04-28T22:57:04.317756,0.0,0.0,0.0,0,0.001090830782496456,0.001090830782496456,-0.001090830782496456,0.32,-0.37,9.81,10.5,-3.25,-80.1875
2026-04-28T22:57:05.484857,0.0,0.0,0.0,0,-0.002181661564992912,0.0,0.003272492347489368,0.33,-0.38,9.86,9.375,-2.5625,-79.5
2026-04-28T22:57:06.629371,0.0,0.0,0.0,0,0.001090830782496456,0.003272492347489368,-0.001090830782496456,0.33,-0.38,9.77,10.0625,-2.875,-79.375
2026-04-28T22:57:07.796411,0.0,0.0,0.0,0,-0.002181661564992912,0.001090830782496456,0.0,0.32,-0.37,9.84,10.0625,-2.5625,-79.75
2026-04-28T22:57:08.949930,0.0,0.0,0.0,0,0.2923426497090502,-0.29888763440402893,-0.07963064712224129,1.45,-0.56,8.83,9.0,-2.75,-78.1875
2026-04-28T22:57:10.111868,0.0,0.0,0.0,0,0.001090830782496456,-0.03599741582238305,-0.003272492347489368,2.72,-0.52,9.540000000000001,-5.0,-1.5625,-61.375
2026-04-28T22:57:11.288697,0.0,0.0,0.0,0,0.008726646259971648,-0.3076142806640006,0.026179938779914945,1.6500000000000001,-0.56,9.71,-5.25,-4.6875,-51.0
2026-04-28T22:57:12.464899,0.0,0.0,0.0,0,0.006544984694978736,0.009817477042468103,-0.05235987755982989,0.43,-0.38,9.56,-2.0625,-4.5,-51.5
2026-04-28T22:57:13.624992,0.0,0.0,0.0,0,0.002181661564992912,0.003272492347489368,0.0,0.24,-0.4,9.84,-1.1875,-4.6875,-50.6875
2026-04-28T22:57:14.776264,0.0,0.0,0.0,0,0.001090830782496456,0.001090830782496456,0.001090830782496456,0.27,-0.35000000000000003,9.8,-2.25,-4.25,-51.0625
2026-04-28T22:57:15.954599,0.0,0.0,0.0,0,0.0,0.002181661564992912,0.0,0.3,-0.38,9.83,-1.875,-4.0,-51.5
2026-04-28T22:57:17.081863,0.0,0.0,0.0,0,0.001090830782496456,0.002181661564992912,-0.002181661564992912,0.29,-0.36,9.82,-1.1875,-4.6875,-51.5
2026-04-28T22:57:18.248346,0.0,0.0,0.0,0,-0.002181661564992912,0.001090830782496456,-0.001090830782496456,0.28,-0.37,9.83,-1.1875,-5.5,-51.0625
2026-04-28T22:57:19.416703,0.0,0.0,0.0,0,0.001090830782496456,0.0,0.002181661564992912,0.29,-0.38,9.870000000000001,-1.1875,-5.5,-51.0
